QUICK LINKS, LIENS RAPIDES
Dashboard, Tableau de bord
Sale Statisctics, Statistiques de Vente
Daily, Journalière
Weekly, Hebdomadaire
Monthly, Mensuelle
Lifetime Sales, Ventes totales
orders, commandes
lifetime sale, ventes totales
of orders completed, de commandes complétées
of orders cancelled, de commandes annulées
Best Sellers, Articles les plus vendus
All products, Tous les produits
Look like you just started, On dirait que tu viens de commencer
No bestsellers yet, Pas encore de best-sellers
count, nombre
New Product, Nouveau Produit
Create A New Product, Créer Un Nouveau Produit
SKU, UGS
New Coupon, Nouveau Coupon
CATALOG, CATALOGUE
Products, Produits